effDate,consTickerSymbol,weight
2017-01-26,600066,0.285
2017-01-26,300168,0.139
2017-01-26,002304,0.449
2017-01-26,000538,0.416
2017-02-28,000027,0.087
2017-02-28,600485,0.222
2017-02-28,002049,0.117
2017-02-28,600256,0.151
2017-02-28,600150,0.21
2017-02-28,600028,0.628
2017-02-28,600649,0.267
2017-02-28,601118,0.09
2017-02-28,000627,0.102
2017-02-28,600820,0.23
2017-02-28,600050,0.619
2017-02-28,600585,0.425
2017-02-28,600637,0.323
2017-02-28,601888,0.249
2017-02-28,000712,0.101
2017-02-28,601333,0.187
2017-02-28,002024,0.438
2017-02-28,600893,0.271
2017-02-28,000895,0.221
2017-02-28,000725,0.807
2017-02-28,002174,0.103
2017-02-28,000402,0.135
2017-02-28,600037,0.114
2017-02-28,300024,0.235
2017-02-28,601377,0.387
2017-02-28,002465,0.213
2017-02-28,601601,0.893
2017-02-28,600582,0.094
2017-02-28,300002,0.133
2017-02-28,300104,0.433
2017-02-28,300072,0.291
2017-02-28,002415,0.532
2017-02-28,002152,0.109
2017-02-28,601919,0.242
2017-02-28,000008,0.075
2017-02-28,600362,0.163
2017-02-28,600297,0.172
2017-02-28,600170,0.187
2017-02-28,000166,0.401
2017-02-28,000333,1.488
2017-02-28,601611,0.098
2017-02-28,002594,0.283
2017-02-28,603885,0.065
2017-02-28,601211,0.91
2017-02-28,600118,0.202
2017-02-28,002673,0.286
2017-02-28,600100,0.254
2017-02-28,600066,0.28
2017-02-28,300168,0.14
2017-02-28,002304,0.507
2017-02-28,000538,0.415
2017-02-28,002292,0.12
2017-02-28,002241,0.283
2017-02-28,601958,0.083
2017-02-28,600252,0.137
2017-02-28,600018,0.199
2017-02-28,601006,0.43
2017-02-28,600008,0.108
2017-02-28,601800,0.285
2017-02-28,601818,0.685
2017-02-28,600886,0.297
2017-02-28,600654,0.139
2017-02-28,002450,0.465
2017-02-28,600674,0.202
2017-02-28,600489,0.224
2017-02-28,601628,0.444
2017-02-28,600372,0.11
2017-02-28,002027,0.078
2017-02-28,600895,0.146
2017-02-28,000630,0.218
2017-02-28,000559,0.15
2017-02-28,600827,0.153
2017-02-28,600060,0.154
2017-02-28,600588,0.146
2017-02-28,600648,0.081
2017-02-28,002299,0.086
2017-02-28,600690,0.346
2017-02-28,600663,0.176
2017-02-28,600015,0.648
2017-02-28,300133,0.087
2017-02-28,601018,0.22
2017-02-28,000728,0.247
2017-02-28,601169,1.271
2017-02-28,000413,0.199
2017-02-28,002736,0.39
2017-02-28,600023,0.248
2017-02-28,601127,0.047
2017-02-28,000826,0.184
2017-02-28,002424,0.08
2017-02-28,601688,0.616
2017-02-28,000009,0.218
2017-02-28,600369,0.205
2017-02-28,600309,0.31
2017-02-28,600446,0.124
2017-02-28,600177,0.226
2017-02-28,000651,1.372
2017-02-28,600029,0.281
2017-02-28,300033,0.154
2017-02-28,601872,0.117
2017-02-28,601099,0.378
2017-02-28,600958,0.494
2017-02-28,601336,0.384
2017-02-28,000540,0.191
2017-02-28,000783,0.356
2017-02-28,600009,0.275
2017-02-28,000063,0.39
2017-02-28,601928,0.085
2017-02-28,002500,0.135
2017-02-28,600887,1.138
2017-02-28,601668,1.379
2017-02-28,601186,0.633
2017-02-28,601088,0.348
2017-02-28,002081,0.178
2017-02-28,002142,0.381
2017-02-28,002065,0.206
2017-02-28,000338,0.283
2017-02-28,000776,0.54
2017-02-28,600875,0.134
2017-02-28,600104,0.939
2017-02-28,600068,0.318
2017-02-28,600498,0.143
2017-02-28,002310,0.167
2017-02-28,300251,0.09
2017-02-28,600837,1.317
2017-02-28,600795,0.407
2017-02-28,600871,0.074
2017-02-28,600703,0.318
2017-02-28,600666,0.135
2017-02-28,600535,0.257
2017-02-28,601166,2.32
2017-02-28,600373,0.125
2017-02-28,600482,0.115
2017-02-28,600900,0.889
2017-02-28,002797,0.076
2017-02-28,000415,0.138
2017-02-28,600016,2.218
2017-02-28,601288,1.291
2017-02-28,601607,0.26
2017-02-28,600406,0.252
2017-02-28,000738,0.12
2017-02-28,601939,0.413
2017-02-28,600739,0.223
2017-02-28,000568,0.272
2017-02-28,000671,0.095
2017-02-28,000839,0.316
2017-02-28,601216,0.134
2017-02-28,601198,0.223
2017-02-28,300315,0.178
2017-02-28,000800,0.099
2017-02-28,000555,0.062
2017-02-28,600030,1.353
2017-02-28,300059,0.367
2017-02-28,601877,0.089
2017-02-28,601899,0.41
2017-02-28,601390,0.7
2017-02-28,002085,0.173
2017-02-28,601009,0.462
2017-02-28,601111,0.21
2017-02-28,601998,0.22
2017-02-28,600332,0.152
2017-02-28,600188,0.043
2017-02-28,000792,0.144
2017-02-28,600010,0.316
2017-02-28,000069,0.256
2017-02-28,601669,0.326
2017-02-28,603993,0.214
2017-02-28,601766,1.043
2017-02-28,002230,0.292
2017-02-28,002426,0.136
2017-02-28,002385,0.141
2017-02-28,601857,0.415
2017-02-28,000061,0.083
2017-02-28,600109,0.292
2017-02-28,600074,0.136
2017-02-28,000060,0.185
2017-02-28,002131,0.097
2017-02-28,601618,0.283
2017-02-28,600221,0.233
2017-02-28,000778,0.129
2017-02-28,600839,0.17
2017-02-28,600804,0.242
2017-02-28,600873,0.134
2017-02-28,600704,0.135
2017-02-28,600547,0.286
2017-02-28,601318,4.077
2017-02-28,600376,0.132
2017-02-28,002007,0.213
2017-02-28,601718,0.148
2017-02-28,600783,0.077
2017-02-28,600867,0.222
2017-02-28,300017,0.241
2017-02-28,000750,0.208
2017-02-28,002183,0.174
2017-02-28,600518,0.543
2017-02-28,000157,0.221
2017-02-28,000423,0.308
2017-02-28,600019,0.651
2017-02-28,601933,0.218
2017-02-28,000983,0.154
2017-02-28,000858,0.78
2017-02-28,000963,0.196
2017-02-28,000938,0.085
2017-02-28,601258,0.139
2017-02-28,600741,0.221
2017-02-28,000623,0.22
2017-02-28,000686,0.18
2017-02-28,002202,0.274
2017-02-28,600549,0.11
2017-02-28,600415,0.224
2017-02-28,601021,0.094
2017-02-28,603000,0.098
2017-02-28,600031,0.289
2017-02-28,300027,0.187
2017-02-28,601225,0.115
2017-02-28,601608,0.077
2017-02-28,002456,0.264
2017-02-28,300058,0.143
2017-02-28,002153,0.079
2017-02-28,002074,0.139
2017-02-28,601328,1.778
2017-02-28,601988,0.806
2017-02-28,000001,0.845
2017-02-28,600340,0.236
2017-02-28,600271,0.235
2017-02-28,600196,0.269
2017-02-28,600153,0.197
2017-02-28,000793,0.237
2017-02-28,601155,0.142
2017-02-28,000100,0.277
2017-02-28,601901,0.363
2017-02-28,002466,0.227
2017-02-28,600111,0.292
2017-02-28,600085,0.174
2017-02-28,600737,0.127
2017-02-28,600705,0.296
2017-02-28,600685,0.116
2017-02-28,000039,0.133
2017-02-28,002129,0.114
2017-02-28,600383,0.283
2017-02-28,601788,0.323
2017-02-28,002008,0.213
2017-02-28,002236,0.231
2017-02-28,002195,0.117
2017-02-28,000425,0.178
2017-02-28,600021,0.114
2017-02-28,300182,0.109
2017-02-28,600000,1.49
2017-02-28,002470,0.126
2017-02-28,300124,0.217
2017-02-28,300015,0.133
2017-02-28,600999,0.4
2017-02-28,000768,0.334
2017-02-28,000718,0.093
2017-02-28,600519,1.851
2017-02-28,600583,0.185
2017-02-28,600606,0.219
2017-02-28,601633,0.164
2017-02-28,000709,0.173
2017-02-28,000876,0.177
2017-02-28,000977,0.132
2017-02-28,002568,0.039
2017-02-28,300146,0.088
2017-02-28,300085,0.059
2017-02-28,600754,0.052
2017-02-28,000625,0.329
2017-02-28,600816,0.228
2017-02-28,600038,0.125
2017-02-28,600036,2.083
2017-02-28,601866,0.137
2017-02-28,600570,0.239
2017-02-28,600276,0.737
2017-02-28,600208,0.162
2017-02-28,600157,0.213
2017-02-28,001979,0.422
2017-02-28,000156,0.107
2017-02-28,601985,0.353
2017-02-28,601555,0.286
2017-02-28,002714,0.112
2017-02-28,300070,0.319
2017-02-28,002146,0.115
2017-02-28,601600,0.337
2017-02-28,000002,1.452
2017-02-28,600352,0.228
2017-02-28,600089,0.348
2017-02-28,000917,0.173
2017-02-28,600061,0.181
2017-02-28,300144,0.128
2017-02-28,601989,0.732
2017-02-28,000503,0.318
2017-02-28,600959,0.181
2017-02-28,002739,0.271
2017-02-28,600115,0.217
2017-02-28,600718,0.2
2017-02-28,002475,0.193
2017-02-28,600688,0.153
2017-02-28,600660,0.285
2017-02-28,601727,0.274
2017-02-28,002252,0.216
2017-02-28,601398,1.051
2017-02-28,600048,0.7
2017-03-31,600583,0.175
2017-03-31,600606,0.201
2017-03-31,601633,0.157
2017-03-31,000709,0.159
2017-03-31,000876,0.174
2017-03-31,000977,0.118
2017-03-31,002568,0.039
2017-03-31,300146,0.083
2017-03-31,300085,0.053
2017-03-31,600754,0.048
2017-03-31,000625,0.32
2017-03-31,600816,0.215
2017-03-31,600038,0.122
2017-03-31,600036,2.053
2017-03-31,601866,0.136
2017-03-31,600570,0.217
2017-03-31,600352,0.222
2017-03-31,600276,0.795
2017-03-31,600208,0.175
2017-03-31,600157,0.204
2017-03-31,001979,0.433
2017-03-31,000156,0.101
2017-03-31,601985,0.352
2017-03-31,601555,0.269
2017-03-31,002714,0.117
2017-03-31,300070,0.316
2017-03-31,002146,0.118
2017-03-31,601600,0.318
2017-03-31,000002,1.455
2017-03-31,600115,0.21
2017-03-31,600089,0.377
2017-03-31,000917,0.157
2017-03-31,600061,0.173
2017-03-31,300144,0.118
2017-03-31,601989,0.709
2017-03-31,000503,0.255
2017-03-31,600959,0.168
2017-03-31,002739,0.276
2017-03-31,600718,0.199
2017-03-31,002475,0.223
2017-03-31,600688,0.146
2017-03-31,600660,0.329
2017-03-31,601727,0.274
2017-03-31,002252,0.212
2017-03-31,601398,1.084
2017-03-31,600048,0.704
2017-03-31,600649,0.24
2017-03-31,601118,0.084
2017-03-31,000027,0.088
2017-03-31,600485,0.222
2017-03-31,002049,0.117
2017-03-31,600256,0.153
2017-03-31,600150,0.202
2017-03-31,600028,0.627
2017-03-31,000627,0.1
2017-03-31,600820,0.205
2017-03-31,600050,0.658
2017-03-31,600585,0.431
2017-03-31,600637,0.307
2017-03-31,601888,0.287
2017-03-31,000712,0.109
2017-03-31,601333,0.183
2017-03-31,002024,0.418
2017-03-31,600893,0.273
2017-03-31,000895,0.232
2017-03-31,000725,0.849
2017-03-31,002174,0.1
2017-03-31,000402,0.138
2017-03-31,600037,0.109
2017-03-31,300024,0.245
2017-03-31,601377,0.373
2017-03-31,002465,0.209
2017-03-31,601601,0.895
2017-03-31,600582,0.097
2017-03-31,300002,0.135
2017-03-31,002594,0.271
2017-03-31,300104,0.419
2017-03-31,300072,0.385
2017-03-31,002415,0.606
2017-03-31,002152,0.108
2017-03-31,601919,0.234
2017-03-31,000008,0.075
2017-03-31,600362,0.149
2017-03-31,600297,0.158
2017-03-31,600170,0.181
2017-03-31,000166,0.387
2017-03-31,000333,1.555
2017-03-31,601611,0.093
2017-03-31,603885,0.062
2017-03-31,601211,0.867
2017-03-31,600118,0.197
2017-03-31,002673,0.265
2017-03-31,600100,0.252
2017-03-31,600066,0.296
2017-03-31,300168,0.128
2017-03-31,002304,0.547
2017-03-31,000538,0.46
2017-03-31,002292,0.109
2017-03-31,002241,0.324
2017-03-31,601958,0.078
2017-03-31,600018,0.199
2017-03-31,601006,0.467
2017-03-31,600008,0.107
2017-03-31,601800,0.284
2017-03-31,601818,0.68
2017-03-31,600886,0.318
2017-03-31,600654,0.139
2017-03-31,002450,0.49
2017-03-31,600674,0.207
2017-03-31,600489,0.21
2017-03-31,601628,0.438
2017-03-31,600372,0.106
2017-03-31,002027,0.077
2017-03-31,600895,0.139
2017-03-31,600252,0.13
2017-03-31,000630,0.208
2017-03-31,000559,0.143
2017-03-31,600827,0.135
2017-03-31,600060,0.147
2017-03-31,600588,0.135
2017-03-31,600648,0.076
