code,year,quarter,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
600871,2016,3,-55.8,-31.88,-20.3196,-8857.992,-0.6263,27781.621,1.9643,1.2686,212.833,2.2154,121.8742,0.6129,440.5286,-24.0541,,-30.3302,-3.8879,320.1342,-30.3282,0.7141,0.4467,7.2206,-2486.8859,21.348000000000003,78.652,-0.1666,-0.0623,,-0.0792,-8.0331
600871,2016,4,-190.86,-37.54,-24.6794,-16114.763,-1.1394,42923.5,3.035,1.6823,213.9927,4.4435,81.0172,0.9471,380.1077,-28.8749,-66364.6408,-65.7361,-12.6772,-57050.0,-65.7325,0.6319,0.4887,5.3171,-3211.354,11.332,88.66799999999999,-0.091,-0.0525,,-0.0592,-6.0028
600871,2017,1,-18.74,-15.26,-4.3934,-1345.366,-0.0951,8815.25,0.6233,0.4144,217.1815,0.9121,98.6734,0.2211,407.0556,,,,,,,0.6162,0.4429,5.6755,-925.481,10.1312,89.8688,-0.1489,-0.0185,,-0.0206,-2.0938
600871,2017,2,-36.16,-11.51,-0.1313,-2285.324,-0.1615,19842.318,1.403,0.9796,183.7485,1.8493,97.3341,0.5053,356.224,,,,,,,0.6117,0.4127,4.8557,-741.181,9.2269,90.7731,-0.1002,-0.028999999999999998,,-0.032,-3.2511
600871,2017,3,-62.05,-11.01,0.2783,-3306.005,-0.2337,30026.964,2.1231,1.4994,180.072,2.6558,101.6643,0.7635,353.6346,,,,,,,0.6097,0.3947,4.7623,-601.9533,7.8428,92.1572,-0.0792,-0.035,,-0.038,-3.8623
600871,2017,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600297,2010,1,0.21,0.56,12.5936,1.665,0.0047,294.0269,0.84,0.9389,95.8569,2.3603,38.1307,0.2738,328.7071,-8.0532,-77.8227,1.0579,19.3823,-87.9397,0.6709999999999999,1.3426,1.2023,53.6703,143.0722,41.1474,58.8526,0.0276,0.0042,5.0993,0.0071,1.0421
600297,2010,2,0.02,0.03,11.725,0.2181,0.0006,632.3801,1.8068,2.0083,89.62799999999999,5.888999999999999,30.5655,0.6045,297.7667,-6.3357,-98.7885,-0.0215,1.1873,-98.76799999999999,-0.3781,1.2986,1.1922,42.0263,116.8861,41.3777,58.6223,0.0414,0.0136,122.1738,0.0232,3.4282
600297,2010,3,0.28,0.29,11.6025,2.1869,0.0062,740.0461,2.1144,3.2668,82.6497,8.29,32.5694,0.8207,328.9874,-28.6716,-85.2642,-0.5693,-15.4368,-90.2208,-0.9482,1.4647,1.3616,51.1507,151.3571,48.5868,51.4132,0.1253,0.0566,27.2286,0.1102,19.3536
600297,2010,4,1.72,1.33,13.9123,13.802999999999999,0.0394,1033.8279,2.9537,4.5385,79.3214,10.3414,34.8115,1.1417,315.3193,-22.6716,-4.2684,1.7003,-11.7288,-1.5,2.4726,1.2504,1.1382,50.9465,152.6824,46.7791,53.2209,0.057,0.0343,4.1851,0.0644,10.3922
600297,2011,1,0.84,2.97,13.4642,6.8389999999999995,0.0195,230.1178,0.6574,1.4976,60.0962,2.5844,34.8243,0.2836,317.3484,-21.7358,328.9909,2.0101,-0.3729,306.25,3.1304,1.5943,1.4364,82.5962,196.1821,42.1316,57.8684,0.0459,0.0055,1.5472,0.0095,1.8448
600297,2011,2,0.52,1.02,13.7513,4.2448,0.0121,416.0399,1.1886,2.8351,63.4898,4.5185,39.8362,0.5715,314.9606,-34.2105,2050.2966,3.3035,-0.8112,1916.6667,4.4133,3.0884,2.6948,135.5134,140.0153,43.0942,56.9058,0.1057,0.0231,9.5548,0.0406,18.1981
600297,2011,3,0.62,0.74,12.7419,5.0271,0.0143,677.1185,1.9346,4.664,57.8902,7.621,35.4284,0.8287,325.8115,-8.5032,53.9892,2.2145,26.8812,132.2581,3.3787,3.6106,3.2539,185.4771,136.6736,39.1411,60.8589,0.11,0.0359,14.2073,0.0589,29.0942
