close,code,date,high,low,open,volume
5.436,601618,2015-03-31,5.94,3.566,4.903,14651961372
7.005,601618,2015-06-30,11.22,5.223,5.484,33470212382
7.605,601618,2015-09-30,8.786,4.99,6.957,13784036674
5.877,601618,2015-12-31,7.8,5.867,7.712,2661524311
4.1,601618,2016-03-31,5.906,3.573,5.877,6127032439
3.647,601618,2016-06-30,4.335,3.43,4.071,3298187816
3.904,601618,2016-09-30,4.418,3.588,3.647,5076987150
4.606,601618,2016-12-30,5.782,3.924,3.924,9042081833
5.021,601618,2017-03-31,5.377,4.596,4.616,6699959501
4.952,601618,2017-06-30,5.723,4.655,5.288,5770446670
5.12,601618,2017-09-29,5.64,4.883,4.942,4739875733
3.62,601633,2011-09-30,3.718,3.344,3.718,162723892
3.477,601633,2011-12-30,3.843,3.059,3.62,716774503
3.91,601633,2012-03-30,4.384,3.341,3.492,430212595
5.271,601633,2012-06-29,5.313,3.849,3.922,343704486
5.191,601633,2012-09-28,5.239,4.223,5.236,291321029
7.019,601633,2012-12-31,7.081,5.037,5.194,248051928
9.613,601633,2013-03-29,10.122,6.391,6.989,257049314
10.652,601633,2013-06-28,11.952,8.265,9.483,269427511
15.361,601633,2013-09-30,15.548,10.12,10.676,223249386
12.381,601633,2013-12-31,15.894,11.193,15.397,203008552
9.765,601633,2014-03-31,12.991,8.601,12.39,379099196
7.835,601633,2014-06-30,11.301,7.699,9.732,339786313
9.417,601633,2014-09-30,10.458,7.795,7.841,442385454
12.867,601633,2014-12-31,13.468,8.547,9.42,404045959
16.106,601633,2015-03-31,16.995,12.077,12.867,338104245
13.447,601633,2015-06-30,18.426,13.428,16.103,865715276
10.293,601633,2015-09-30,14.743,6.73,12.108,1026238583
11.436,601633,2015-12-31,13.658,10.686,11.318,2157881766
8.662,601633,2016-03-31,11.464,7.219,11.398,1160806184
8.2,601633,2016-06-30,8.738,7.789,8.586,695659841
10.386,601633,2016-09-30,11.076,8.171,8.21,1172994627
10.746,601633,2016-12-30,11.222,9.959,10.503,813534389
12.222,601633,2017-03-31,12.941,10.503,10.784,1065165781
13.29,601633,2017-06-30,14.739,11.231,13.446,2240042392
12.26,601633,2017-09-29,13.88,12.02,13.2,1015041657
3.533,601668,2010-03-31,3.843,3.354,3.843,8271873840
2.882,601668,2010-06-30,3.598,2.792,3.525,6468943432
2.841,601668,2010-09-30,3.218,2.767,2.857,6370674108
2.808,601668,2010-12-31,3.309,2.767,2.849,8653827060
3.038,601668,2011-03-31,3.144,2.8,2.824,7187629560
3.363,601668,2011-06-30,3.44,2.997,3.029,7360073990
2.821,601668,2011-09-30,3.438,2.754,3.372,4543537934
2.429,601668,2011-12-30,2.879,2.395,2.846,3483740894
2.545,601668,2012-03-30,2.821,2.378,2.445,4803548758
2.855,601668,2012-06-29,2.949,2.529,2.545,3851009172
2.624,601668,2012-09-28,2.941,2.479,2.847,2854152975
3.334,601668,2012-12-31,3.36,2.573,2.624,4748236808
2.881,601668,2013-03-29,3.573,2.787,3.385,7968906624
2.795,601668,2013-06-28,3.402,2.479,2.864,5642065708
2.84,601668,2013-09-30,3.237,2.633,2.761,5832720604
2.769,601668,2013-12-31,3.104,2.707,2.831,4964193544
2.566,601668,2014-03-31,2.778,2.39,2.76,5369432944
2.609,601668,2014-06-30,2.84,2.531,2.557,4886886934
3.136,601668,2014-09-30,3.228,2.581,2.609,8354706390
6.734,601668,2014-12-31,6.984,2.942,3.182,42756709077
7.095,601668,2015-03-31,7.659,5.042,6.827,35444383162
7.825,601668,2015-06-30,11.582,6.591,7.067,67870961150
5.443,601668,2015-09-30,8.55,4.595,7.637,31352266019
5.97,601668,2015-12-31,7.006,5.584,5.669,15966682392
5.367,601668,2016-03-31,5.989,4.642,5.961,9237568929
5.203,601668,2016-06-30,5.509,4.915,5.367,4585010514
6.034,601668,2016-09-30,6.611,5.164,5.222,7923254494
8.665,601668,2016-12-30,11.198,5.976,6.064,35314949176
8.997,601668,2017-03-31,9.555,8.147,8.636,15223969373
9.68,601668,2017-06-30,10.416,8.587,9.467,16526722439
9.28,601668,2017-09-29,10.96,9.26,9.68,14209110433
